"","bioguide_id","icpsr_id"
"319","K000288",29365
"320","K000306",15105
"321","K000336",29748
"322","K000364",20520
"323","L000552",29517
"324","L000559",20136
"325","L000560",20145
"326","L000557",29908
"327","L000111",29522
"328","L000553",29553
"329","L000169",14432
"330","L000551",29778
"331","L000263",15033
"332","L000274",14644
"333","L000287",15431
"334","L000293",29352
"335","L000321",29341
"336","L000563",20508
"337","L000554",29539
"338","L000397",29504
"339","L000480",15612
"340","L000491",29393
"341","L000517",14647
"342","L000562",20119
"343","M001155",20503
"344","M000087",29379
"345","M001138",29349
"346","M001158",20532
"347","M000133",14435
"348","M001146",20317
"349","M001142",20140
"350","M001163",20538
"351","M000249",14649
"352","M000309",29744
"353","M001157",20530
"354","M001143",20122
"355","M001147",20332
"356","M000388",15451
"357","M000404",15613
"358","M000312",29729
"359","M001156",20522
"360","M000472",39316
"361","M000485",29746
"362","M000508",29315
"363","M000523",29344
"364","M001159",20535
"365","M000590",15614
"366","M000627",29358
"367","M001148",20358
"368","M001137",29776
"369","M001161",20513
"370","M000639",29373
"371","M000689",29331
"372","M001149",20328
"373","M000714",29586
"374","M001154",20341
"375","M001150",20331
"376","M001139",29905
"377","M000725",14256
"378","M001144",20110
"379","M000844",15083
"380","M001140",29915
"381","M001160",20537
"382","M000933",29149
"383","M000934",29722
"384","M001151",20346
"385","M001120",14072
"386","M001152",20311
"387","M001134",29549
"388","N000002",29377
"389","N000179",29903
"390","N000015",15616
"391","N000182",20353
"392","N000081",29552
"393","N000143",29725
"394","N000159",29513
"395","N000181",20307
"396","N000172",29118
"397","O000006",14265
"398","O000007",12036
"399","O000085",29123
"400","O000107",15049
"401","O000165",20126
"402","O000166",20114
"403","O000159",15050
"404","O000163",14875
"405","P000034",15454
"406","P000096",29741
"407","P000099",29101
"408","P000583",14290
"409","P000149",15619
"410","P000588",20337
"411","P000197",15448
"412","P000587",20117
"413","P000258",29127
"414","P000263",29751
"415","P000265",14675
"416","P000323",29734
"417","P000373",29752
"418","P000585",20135
"419","P000592",20528
"420","P000419",29311
"421","P000422",29384
"422","P000589",20334
"423","P000449",29386
"424","P000523",15438
"425","P000591",20505
"426","P000555",29390
"427","P000586",20113
"428","R000011",14448
"429","R000033",29126
"430","R000053",13035
"431","R000141",14045
"432","R000571",20125
"433","R000578",20536
"434","R000574",20303
"435","R000569",29928
"436","R000395",14854
"437","R000572",20120
"438","R000409",15621
"439","R000435",15634
"440","R000573",20102
"441","R000462",29742
"442","R000486",29317
"443","R000487",29321
"444","R000576",20329
"445","R000515",29346
"446","R000570",29939
"447","R000577",20343
"448","R000566",29723
"449","S000005",14656
"450","S001158",20502
"451","S001156",20310
"452","S000030",29709
"453","S000033",29147
"454","S000097",15112
"455","S001145",29911
"456","S001150",20104
"457","S001164",20540
"458","S001162",20525
"459","S001161",20515
"460","S001157",20321
"461","S000185",39307
"462","S000244",14657
"463","S000248",29134
"464","S000250",29759
"465","S000275",29501
"466","S000303",14860
"467","S001144",15449
"468","S000344",29707
"469","S001146",29933
"470","S000364",29718
"471","S001154",20134
"472","S001152",20109
"473","S001148",29910
"474","S000465",14451
"475","S000480",15444
"476","S000510",29768
"477","S000522",14863
"478","S000583",15445
"479","S000672",29703
"480","S001160",20510
"481","S001153",20105
"482","S001143",29519
"483","S000749",15064
"484","S000810",14053
"485","S000822",15627
"486","S001004",29747
"487","S001045",29360
"488","S001155",20131
"489","S001149",29927
"490","T000458",29907
"491","T000038",15628
"492","T000057",29705
"493","T000067",29135
"494","T000074",15637
"495","T000459",29921
"496","T000188",14669
"497","T000193",29368
"498","T000460",29901
"499","T000238",29572
"500","T000260",29524
"501","T000462",20130
"502","T000266",29730
"503","T000326",15072
"504","T000463",20342
"505","U000038",29906
"506","U000039",29924
"507","U000031",15446
"508","V000128",20330
"509","V000081",29378
"510","V000108",15124
"511","W000791",29932
"512","W000099",15630
"513","W000119",29567
"514","W000797",20504
"515","W000187",29106
"516","W000794",20106
"517","W000207",29383
"518","W000215",14280
"519","W000792",29926
"520","W000268",15447
"521","W000267",29509
"522","W000273",29516
"523","W000796",20506
"524","W000314",29715
"525","W000413",29525
"526","W000437",29534
"527","W000789",29779
"528","W000795",20138
"529","W000672",14869
