id,year,fips_new,fips_old
A000378,1984.0,19153.0,
A000378,1985.0,19153.0,
A000378,1986.0,19153.0,
A000378,1987.0,19103.0,
A000378,1987.0,19153.0,
A000378,1988.0,19103.0,
A000378,1989.0,19103.0,
A000378,1990.0,19103.0,
A000378,1991.0,19103.0,
A000378,1992.0,19103.0,
A000378,1993.0,19103.0,
A000378,1994.0,19103.0,
A000378,1995.0,19103.0,
A000378,1996.0,19103.0,
A000378,1997.0,19103.0,
A000378,1998.0,19103.0,
A000378,1999.0,19103.0,
A000378,2000.0,19103.0,
A000378,2001.0,19103.0,
A000378,2002.0,17031.0,
A000378,2002.0,19103.0,
A000378,2003.0,17031.0,
A000378,2004.0,17031.0,
A000378,2005.0,17031.0,
A000378,2006.0,17031.0,
A000378,2007.0,17031.0,
A000378,2008.0,17031.0,
A000378,2009.0,17031.0,
A000378,2010.0,17031.0,
A000378,2011.0,17031.0,
A000378,2012.0,17031.0,
A000378,2013.0,17031.0,
A000378,2014.0,17031.0,
A000378,2015.0,17031.0,
A000378,2016.0,17031.0,
A000378,2017.0,17031.0,
A000378,2018.0,17031.0,
A000378,2019.0,17031.0,
B000617,1954.0,48029.0,48029
B000617,1955.0,48029.0,
B000617,1956.0,48029.0,
B000617,1957.0,48029.0,
B000617,1958.0,48029.0,
B000617,1959.0,48029.0,
B000617,1960.0,48029.0,
B000617,1961.0,48029.0,
B000617,1962.0,48029.0,
B000617,1963.0,48029.0,
B000617,1964.0,48029.0,
B000617,1965.0,48029.0,
B000617,1966.0,48029.0,
B000617,1967.0,48029.0,
B000617,1968.0,48029.0,
B000617,1969.0,48029.0,
B000617,1970.0,48029.0,
B000617,1971.0,48029.0,
B000617,1972.0,48453.0,48029
B000617,1972.0,48029.0,48029
B000617,1973.0,48453.0,
B000617,1974.0,48453.0,
B000617,1975.0,48453.0,
B000617,1976.0,48453.0,48453
B000617,1981.0,,
B001149,1938.0,18097.0,18097
B001149,1939.0,18097.0,
B001149,1940.0,18097.0,
B001149,1941.0,18097.0,
B001149,1942.0,18097.0,
B001149,1943.0,18097.0,
B001149,1944.0,18097.0,
B001149,1945.0,18097.0,
B001149,1946.0,18097.0,
B001149,1947.0,18097.0,
B001149,1948.0,18097.0,
B001149,1949.0,18097.0,
B001149,1950.0,18097.0,
B001149,1951.0,18097.0,
B001149,1952.0,18097.0,
B001149,1953.0,18097.0,
B001149,1954.0,18097.0,
B001149,1955.0,18097.0,
B001149,1956.0,18097.0,18097
B001149,1957.0,18097.0,18097
B001149,1957.0,18097.0,8071
B001149,1958.0,,18097
B001149,1958.0,,18097
B001149,1958.0,,8071
B001149,1958.0,,
B001149,1959.0,,39061
B001149,1959.0,,
B001149,1960.0,,39061
B001149,1960.0,,
B001149,1961.0,,
B001149,1962.0,18097.0,
B001149,1963.0,18097.0,
B001149,1964.0,18097.0,
B001149,1965.0,18097.0,
B001149,1966.0,18097.0,
